Entity,Date,Description,Account,Deposit
Super,30/06/2018,VAS,Income:Distribution:13U,-3606.42
Super,30/06/2018,VAS,Income:Distribution:13C,-22870.71
Super,30/06/2018,VAS,Income:Distribution:13Q,7069.35
Super,30/06/2018,VAS,Income:Distribution:18H:18A,-1568.43
Super,30/06/2018,VAS,Income:Distribution:18H:GCTGrossUp,-1567.05
Super,30/06/2018,VAS,Income:Distribution:20E/20M,-463.54
Super,30/06/2018,VAS,Income:Distribution:20O,15.64
Super,30/06/2018,VAS,Income:Distribution,23053.38
Super,30/06/2018,VAS,Asset:Shares:CostBase,-62.21
Super,30/06/2018,VAS,Income:Distribution:Rounding,-0.01
